instant,dteday,spring,summer,fall,season,yr,1,2,3,4,5,6,7,8,9,10,11,mnth,daybreak,morning,working hour,offwork,hr,holiday,w0,w1,w2,w3,w4,w5,weekday,workingday,weathersit,weathersit1,temp,atemp,hum,windspeed,casual,registered,cnt,sf
15,2011/1/1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,14,0,0,0,0,0,0,0,6,0,0.5,2,0.46,0.4545,0.72,0.2836,35,71,106,
16,2011/1/1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,15,0,0,0,0,0,0,0,6,0,0.5,2,0.44,0.4394,0.77,0.2985,40,70,110,
17,2011/1/1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,16,0,0,0,0,0,0,0,6,0,0.5,2,0.42,0.4242,0.82,0.2985,41,52,93,
18,2011/1/1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,17,0,0,0,0,0,0,0,6,0,0.5,2,0.44,0.4394,0.82,0.2836,15,52,67,
19,2011/1/1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18,0,0,0,0,0,0,0,6,0,0.75,3,0.42,0.4242,0.88,0.2537,9,26,35,
20,2011/1/1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,19,0,0,0,0,0,0,0,6,0,0.75,3,0.42,0.4242,0.88,0.2537,6,31,37,
21,2011/1/1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,6,0,0.5,2,0.4,0.4091,0.87,0.2537,11,25,36,
22,2011/1/1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,0,0,0,0,0,0,0,6,0,0.5,2,0.4,0.4091,0.87,0.194,3,31,34,
23,2011/1/1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,0,0,0,0,0,0,6,0,0.5,2,0.4,0.4091,0.94,0.2239,11,17,28,
24,2011/1/1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,0,0,0,0,0,0,0,6,0,0.5,2,0.46,0.4545,0.88,0.2985,15,24,39,
25,2011/1/2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,2,0.46,0.4545,0.88,0.2985,4,13,17,
26,2011/1/2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.5,2,0.44,0.4394,0.94,0.2537,1,16,17,
27,2011/1/2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0.5,2,0.42,0.4242,1,0.2836,1,8,9,
28,2011/1/2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0.5,2,0.46,0.4545,0.94,0.194,2,4,6,
29,2011/1/2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0.5,2,0.46,0.4545,0.94,0.194,2,1,3,
30,2011/1/2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0.75,3,0.42,0.4242,0.77,0.2985,0,2,2,
31,2011/1/2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,0,1,0,0,0,0,0,0,0,0.5,2,0.4,0.4091,0.76,0.194,0,1,1,
32,2011/1/2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,0,1,0,0,0,0,0,0,0,0.75,3,0.4,0.4091,0.71,0.2239,0,8,8,
33,2011/1/2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,9,0,1,0,0,0,0,0,0,0,0.5,2,0.38,0.3939,0.76,0.2239,1,19,20,
34,2011/1/2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10,0,1,0,0,0,0,0,0,0,0.5,2,0.36,0.3485,0.81,0.2239,7,46,53,
35,2011/1/2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,11,0,1,0,0,0,0,0,0,0,0.5,2,0.36,0.3333,0.71,0.2537,16,54,70,
36,2011/1/2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,12,0,1,0,0,0,0,0,0,0,0.5,2,0.36,0.3333,0.66,0.2985,20,73,93,
37,2011/1/2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,13,0,1,0,0,0,0,0,0,0,0.5,2,0.36,0.3485,0.66,0.1343,11,64,75,
38,2011/1/2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,14,0,1,0,0,0,0,0,0,0,0.75,3,0.36,0.3485,0.76,0.194,4,55,59,
39,2011/1/2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,15,0,1,0,0,0,0,0,0,0,0.75,3,0.34,0.3333,0.81,0.1642,19,55,74,
40,2011/1/2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,16,0,1,0,0,0,0,0,0,0,0.75,3,0.34,0.3333,0.71,0.1642,9,67,76,
41,2011/1/2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,17,0,1,0,0,0,0,0,0,0,0.25,1,0.34,0.3333,0.57,0.194,7,58,65,
42,2011/1/2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18,0,1,0,0,0,0,0,0,0,0.5,2,0.36,0.3333,0.46,0.3284,10,43,53,
43,2011/1/2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,19,0,1,0,0,0,0,0,0,0,0.25,1,0.32,0.2879,0.42,0.4478,1,29,30,
44,2011/1/2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0.25,1,0.3,0.2727,0.39,0.3582,5,17,22,
45,2011/1/2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,0,1,0,0,0,0,0,0,0,0.25,1,0.26,0.2273,0.44,0.3284,11,20,31,
46,2011/1/2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0.25,1,0.24,0.2121,0.44,0.2985,0,9,9,
47,2011/1/2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0.25,1,0.22,0.2273,0.47,0.1642,0,8,8,
48,2011/1/3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0.25,1,0.22,0.197,0.44,0.3582,0,5,5,
49,2011/1/3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0.25,1,0.2,0.1667,0.44,0.4179,0,2,2,
50,2011/1/3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,1,0,0,0,0,1,1,0.25,1,0.16,0.1364,0.47,0.3881,0,1,1,
51,2011/1/3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,1,0,0,0,0,1,1,0.25,1,0.16,0.1364,0.47,0.2836,0,3,3,
52,2011/1/3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,0,1,0,0,0,0,1,1,0.25,1,0.14,0.1061,0.5,0.3881,0,30,30,
53,2011/1/3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,0,0,1,0,0,0,0,1,1,0.25,1,0.14,0.1364,0.5,0.194,1,63,64,
54,2011/1/3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,0,0,1,0,0,0,0,1,1,0.25,1,0.14,0.1212,0.5,0.2836,1,153,154,
55,2011/1/3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,9,0,0,1,0,0,0,0,1,1,0.25,1,0.16,0.1364,0.43,0.3881,7,81,88,
56,2011/1/3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10,0,0,1,0,0,0,0,1,1,0.25,1,0.18,0.1667,0.43,0.2537,11,33,44,
57,2011/1/3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,11,0,0,1,0,0,0,0,1,1,0.25,1,0.2,0.1818,0.4,0.3284,10,41,51,
58,2011/1/3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,12,0,0,1,0,0,0,0,1,1,0.25,1,0.22,0.2121,0.35,0.2985,13,48,61,
59,2011/1/3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,13,0,0,1,0,0,0,0,1,1,0.25,1,0.24,0.2121,0.35,0.2836,8,53,61,
60,2011/1/3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,14,0,0,1,0,0,0,0,1,1,0.25,1,0.26,0.2424,0.3,0.2836,11,66,77,
61,2011/1/3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,15,0,0,1,0,0,0,0,1,1,0.25,1,0.26,0.2424,0.3,0.2537,14,58,72,
62,2011/1/3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,16,0,0,1,0,0,0,0,1,1,0.25,1,0.26,0.2424,0.3,0.2537,9,67,76,
63,2011/1/3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,17,0,0,1,0,0,0,0,1,1,0.25,1,0.24,0.2273,0.3,0.2239,11,146,157,
64,2011/1/3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18,0,0,1,0,0,0,0,1,1,0.25,1,0.24,0.2576,0.32,0.1045,9,148,157,
65,2011/1/3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,19,0,0,1,0,0,0,0,1,1,0.25,1,0.2,0.2576,0.47,0,8,102,110,
66,2011/1/3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,1,0,0,0,0,1,1,0.25,1,0.2,0.2273,0.47,0.1045,3,49,52,
67,2011/1/3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,0,0,1,0,0,0,0,1,1,0.25,1,0.18,0.197,0.64,0.1343,3,49,52,
68,2011/1/3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,0,1,0,0,0,0,1,1,0.25,1,0.14,0.1515,0.69,0.1343,0,20,20,
69,2011/1/3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,0,0,1,0,0,0,0,1,1,0.25,1,0.18,0.2121,0.55,0.1045,1,11,12,
70,2011/1/4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0.25,1,0.16,0.1818,0.55,0.1045,0,5,5,
71,2011/1/4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,2,1,0.25,1,0.16,0.1818,0.59,0.1045,0,2,2,
72,2011/1/4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,2,1,0.25,1,0.14,0.1515,0.63,0.1343,0,1,1,
73,2011/1/4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,1,0,0,0,2,1,0.25,1,0.14,0.1818,0.63,0.0896,0,2,2,
74,2011/1/4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,1,0,0,0,2,1,0.25,1,0.12,0.1515,0.68,0.1045,0,4,4,
75,2011/1/4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,0,0,1,0,0,0,2,1,0.25,1,0.12,0.1515,0.74,0.1045,0,36,36,
76,2011/1/4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,0,0,0,1,0,0,0,2,1,0.25,1,0.12,0.1515,0.74,0.1343,2,92,94,
77,2011/1/4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,0,0,0,1,0,0,0,2,1,0.25,1,0.14,0.1515,0.69,0.1642,2,177,179,
78,2011/1/4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,9,0,0,0,1,0,0,0,2,1,0.25,1,0.16,0.1515,0.64,0.2239,2,98,100,
79,2011/1/4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10,0,0,0,1,0,0,0,2,1,0.5,2,0.16,0.1364,0.69,0.3284,5,37,42,
80,2011/1/4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,11,0,0,0,1,0,0,0,2,1,0.25,1,0.22,0.2121,0.51,0.2985,7,50,57,
81,2011/1/4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,12,0,0,0,1,0,0,0,2,1,0.25,1,0.22,0.2273,0.51,0.1642,12,66,78,
82,2011/1/4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,13,0,0,0,1,0,0,0,2,1,0.25,1,0.24,0.2273,0.56,0.194,18,79,97,
83,2011/1/4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,14,0,0,0,1,0,0,0,2,1,0.25,1,0.26,0.2576,0.52,0.2239,9,54,63,
84,2011/1/4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,15,0,0,0,1,0,0,0,2,1,0.25,1,0.28,0.2727,0.52,0.2537,17,48,65,
85,2011/1/4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,16,0,0,0,1,0,0,0,2,1,0.25,1,0.3,0.2879,0.49,0.2537,15,68,83,
86,2011/1/4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,17,0,0,0,1,0,0,0,2,1,0.25,1,0.28,0.2727,0.48,0.2239,10,202,212,
87,2011/1/4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18,0,0,0,1,0,0,0,2,1,0.25,1,0.26,0.2576,0.48,0.194,3,179,182,
88,2011/1/4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,19,0,0,0,1,0,0,0,2,1,0.25,1,0.24,0.2576,0.48,0.1045,2,110,112,
89,2011/1/4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,1,0,0,0,2,1,0.25,1,0.24,0.2576,0.48,0.1045,1,53,54,
90,2011/1/4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,0,0,0,1,0,0,0,2,1,0.25,1,0.22,0.2727,0.64,0,0,48,48,
91,2011/1/4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,0,0,1,0,0,0,2,1,0.25,1,0.22,0.2576,0.64,0.0896,1,34,35,
92,2011/1/4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,0,0,0,1,0,0,0,2,1,0.25,1,0.2,0.2273,0.69,0.0896,2,9,11,
93,2011/1/5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,3,1,0.25,1,0.2,0.2576,0.64,0,0,6,6,
94,2011/1/5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,3,1,0.25,1,0.16,0.197,0.74,0.0896,0,6,6,
95,2011/1/5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,3,1,0.25,1,0.16,0.197,0.74,0.0896,0,2,2,
96,2011/1/5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,1,0,0,3,1,0.25,1,0.24,0.2273,0.48,0.2239,0,2,2,
97,2011/1/5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,1,0,0,3,1,0.25,1,0.22,0.2273,0.47,0.1642,0,3,3,
98,2011/1/5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,0,0,0,1,0,0,3,1,0.25,1,0.2,0.197,0.47,0.2239,0,33,33,
99,2011/1/5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,0,0,0,0,1,0,0,3,1,0.25,1,0.18,0.1818,0.43,0.194,1,87,88,
100,2011/1/5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,0,0,0,0,1,0,0,3,1,0.25,1,0.2,0.1818,0.4,0.2985,3,192,195,
101,2011/1/5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,9,0,0,0,0,1,0,0,3,1,0.25,1,0.22,0.197,0.37,0.3284,6,109,115,
102,2011/1/5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10,0,0,0,0,1,0,0,3,1,0.25,1,0.22,0.197,0.37,0.3284,4,53,57,
103,2011/1/5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,11,0,0,0,0,1,0,0,3,1,0.25,1,0.26,0.2273,0.33,0.3284,12,34,46,
104,2011/1/5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,12,0,0,0,0,1,0,0,3,1,0.25,1,0.26,0.2273,0.33,0.3284,5,74,79,
105,2011/1/5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,13,0,0,0,0,1,0,0,3,1,0.25,1,0.28,0.2576,0.3,0.2985,6,65,71,
106,2011/1/5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,14,0,0,0,0,1,0,0,3,1,0.25,1,0.3,0.2879,0.28,0.194,10,52,62,
107,2011/1/5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,15,0,0,0,0,1,0,0,3,1,0.25,1,0.3,0.2879,0.28,0.194,7,55,62,
108,2011/1/5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,16,0,0,0,0,1,0,0,3,1,0.25,1,0.3,0.3182,0.28,0.0896,4,85,89,
109,2011/1/5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,17,0,0,0,0,1,0,0,3,1,0.25,1,0.24,0.2273,0.38,0.194,4,186,190,
110,2011/1/5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18,0,0,0,0,1,0,0,3,1,0.25,1,0.24,0.2424,0.38,0.1343,3,166,169,
111,2011/1/5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,19,0,0,0,0,1,0,0,3,1,0.25,1,0.24,0.2576,0.38,0.1045,5,127,132,
112,2011/1/5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,1,0,0,3,1,0.25,1,0.22,0.2273,0.47,0.1642,7,82,89,
113,2011/1/5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,0,0,0,0,1,0,0,3,1,0.25,1,0.2,0.197,0.51,0.194,3,40,43,
114,2011/1/5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,0,0,0,1,0,0,3,1,0.25,1,0.18,0.197,0.55,0.1343,1,41,42,
115,2011/1/5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,0,0,0,0,1,0,0,3,1,0.25,1,0.2,0.2576,0.47,0,1,18,19,
116,2011/1/6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,4,1,0.25,1,0.18,0.2424,0.55,0,0,11,11,
117,2011/1/6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,4,1,0.25,1,0.16,0.2273,0.64,0,0,4,4,
118,2011/1/6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,4,1,0.25,1,0.16,0.2273,0.64,0,0,2,2,
119,2011/1/6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,1,0,4,1,0.5,2,0.16,0.197,0.64,0.0896,0,1,1,
120,2011/1/6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,1,0,4,1,0.5,2,0.14,0.1818,0.69,0.0896,0,4,4,
121,2011/1/6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,1,0,4,1,0.5,2,0.14,0.1667,0.63,0.1045,0,36,36,
122,2011/1/6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,0,0,0,0,0,1,0,4,1,0.5,2,0.16,0.2273,0.59,0,0,95,95,
123,2011/1/6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,0,0,0,0,0,1,0,4,1,0.25,1,0.16,0.2273,0.59,0,3,216,219,
124,2011/1/6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,9,0,0,0,0,0,1,0,4,1,0.5,2,0.18,0.2424,0.51,0,6,116,122,
125,2011/1/6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10,0,0,0,0,0,1,0,4,1,0.25,1,0.2,0.2576,0.47,0,3,42,45,
126,2011/1/6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,11,0,0,0,0,0,1,0,4,1,0.25,1,0.22,0.2576,0.44,0.0896,2,57,59,
127,2011/1/6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,12,0,0,0,0,0,1,0,4,1,0.25,1,0.26,0.2879,0.35,0,6,78,84,
128,2011/1/6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,13,0,0,0,0,0,1,0,4,1,0.25,1,0.26,0.2727,0.35,0.1045,12,55,67,
129,2011/1/6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,14,0,0,0,0,0,1,0,4,1,0.25,1,0.28,0.2727,0.36,0.1642,11,59,70,
130,2011/1/6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,15,0,0,0,0,0,1,0,4,1,0.25,1,0.28,0.2727,0.36,0,8,54,62,
131,2011/1/6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,16,0,0,0,0,0,1,0,4,1,0.25,1,0.26,0.2576,0.38,0.1642,12,74,86,
132,2011/1/6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,17,0,0,0,0,0,1,0,4,1,0.25,1,0.22,0.2273,0.51,0.1642,9,163,172,
133,2011/1/6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18,0,0,0,0,0,1,0,4,1,0.25,1,0.22,0.2273,0.51,0.1343,5,158,163,
134,2011/1/6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,19,0,0,0,0,0,1,0,4,1,0.25,1,0.22,0.2576,0.55,0.0896,3,109,112,
135,2011/1/6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,1,0,4,1,0.25,1,0.2,0.2121,0.51,0.1642,3,66,69,
